"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.550569,0.821466
SNU-1,STAD,digestive_system,stomach,1.573675,0.866136
RERF-LC-Sq1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.641131,0.841680
NCI-H1623,LUAD,lung,lung_NSCLC_adenocarcinoma,1.643979,0.840243
HSC-4,HNSC,aero_digestive_tract,head_and_neck,1.652846,0.859697
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,1.654361,0.713823
SCC90,HNSC,aero_digestive_tract,head_and_neck,1.668356,0.825920
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,1.695477,0.877793
KYSE-140,ESCA,aero_digestive_tract,oesophagus,1.703625,0.858320
NCI-H2170,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,1.740267,0.857032
A3-KAW,DLBC,blood,B_cell_lymphoma,1.747852,0.911888
MV-4-11,UNCLASSIFIED,blood,leukemia,1.751736,0.918988
LB996-RCC,KIRC,kidney,kidney,1.757300,0.833636
OE21,ESCA,aero_digestive_tract,oesophagus,1.757584,0.842953
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,1.864352,0.938871
SAS,HNSC,aero_digestive_tract,head_and_neck,1.892378,0.860838
NCI-H1341,SCLC,lung,lung_small_cell_carcinoma,1.928265,0.876550
JHU-022,HNSC,aero_digestive_tract,head_and_neck,1.954845,0.809211
5637,BLCA,urogenital_system,bladder,1.958841,0.857441
CESS,LAML,blood,acute_myeloid_leukaemia,1.977614,0.897958
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,1.980492,0.920482
CAL-27,HNSC,aero_digestive_tract,head_and_neck,2.013395,0.860800
SNU-175,COREAD,digestive_system,large_intestine,2.055423,0.875696
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,2.059042,0.908193
HSC-2,HNSC,aero_digestive_tract,head_and_neck,2.069693,0.886856
KE-37,ALL,blood,lymphoblastic_leukemia,2.116084,0.931240
KYSE-150,ESCA,aero_digestive_tract,oesophagus,2.145689,0.868644
RMG-I,UNCLASSIFIED,urogenital_system,ovary,2.160140,0.774227
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,2.180894,0.900329
FADU,HNSC,aero_digestive_tract,head_and_neck,2.196604,0.882640
SW13,ACC,kidney,adrenal_gland,2.241469,0.890810
HCC1806,UNCLASSIFIED,breast,breast,2.246287,0.902213
KU812,LCML,blood,chronic_myeloid_leukaemia,2.251821,0.896521
A431,UNCLASSIFIED,skin,skin_other,2.315249,0.730862
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,2.319724,0.908680
RCC10RGB,KIRC,kidney,kidney,2.326631,0.802934
SAT,HNSC,aero_digestive_tract,head_and_neck,2.345387,0.853903
A388,UNCLASSIFIED,skin,skin_other,2.395376,0.729257
SCC-15,HNSC,aero_digestive_tract,head_and_neck,2.399611,0.865850
RERF-LC-KJ,LUAD,lung,lung_NSCLC_adenocarcinoma,2.466825,0.885278
LC-1-sq,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,2.471074,0.872420
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,2.486486,0.936483
RS4-11,ALL,blood,leukemia,2.492302,0.932853
NCI-H747,COREAD,digestive_system,large_intestine,2.540437,0.829318
CAL-33,HNSC,aero_digestive_tract,head_and_neck,2.553579,0.890613
LoVo,COREAD,digestive_system,large_intestine,2.556741,0.854092
KYSE-180,ESCA,aero_digestive_tract,oesophagus,2.631675,0.913905
SU-DHL-8,DLBC,blood,B_cell_lymphoma,2.633415,0.954160
NB(TU)1-10,NB,nervous_system,neuroblastoma,2.659678,0.899492
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,2.727735,0.919959
KARPAS-231,UNCLASSIFIED,blood,B_cell_leukemia,2.795316,0.936701
KMS-12-BM,MM,blood,myeloma,2.824090,0.943914
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,2.831755,0.764415
KYSE-220,ESCA,aero_digestive_tract,oesophagus,2.846682,0.887625
Detroit562,HNSC,aero_digestive_tract,head_and_neck,2.848442,0.900649
SK-N-DZ,NB,nervous_system,neuroblastoma,2.873833,0.912352
ALL-SIL,ALL,blood,T_cell_leukemia,2.888614,0.937251
KYAE-1,ESCA,aero_digestive_tract,oesophagus,2.919847,0.913394
NCI-H1155,UNCLASSIFIED,lung,lung_NSCLC_large_cell,3.000178,0.912913
TE-11,ESCA,aero_digestive_tract,oesophagus,3.015313,0.781986
JHU-011,HNSC,aero_digestive_tract,head_and_neck,3.041392,0.772145
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,3.127498,0.913324
NCI-H1650,LUAD,lung,lung_NSCLC_adenocarcinoma,3.169816,0.848080
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.175216,0.954626
OCI-M1,LAML,blood,acute_myeloid_leukaemia,3.190835,0.944583
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.233191,0.911702
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,3.253916,0.818472
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.256789,0.923726
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,3.330226,0.876284
UMC-11,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,3.468869,0.896180
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,3.475665,0.951657
EoL-1-cell,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,3.487259,0.961892
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,3.501044,0.937928
SU-DHL-5,DLBC,blood,B_cell_lymphoma,3.508396,0.979000
NCI-H1573,LUAD,lung,lung_NSCLC_adenocarcinoma,3.515028,0.902865
JSC-1,DLBC,blood,B_cell_lymphoma,3.524154,0.936904
NB69,NB,nervous_system,neuroblastoma,3.567000,0.901328
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,3.583709,0.928463
Jurkat,ALL,blood,T_cell_leukemia,3.598098,0.948121
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,3.610101,0.941432
NCI-H513,MESO,lung,mesothelioma,3.624181,0.855831
CAKI-1,KIRC,kidney,kidney,3.722411,0.741237
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,3.724963,0.956255
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,3.748094,0.932849
SCC-3,DLBC,blood,B_cell_lymphoma,3.794199,0.958116
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,3.797003,0.950069
NOS-1,UNCLASSIFIED,bone,osteosarcoma,3.800553,0.923726
ME-180,CESC,urogenital_system,cervix,3.836178,0.904178
HSC-39,STAD,digestive_system,stomach,3.862680,0.963143
SK-MES-1,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,3.891867,0.896882
JJN-3,MM,blood,haematopoietic_neoplasm_other,4.025352,0.958141
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,4.120527,0.957194
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,4.160672,0.964566
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,4.213702,0.952681
KYSE-270,ESCA,aero_digestive_tract,oesophagus,4.233532,0.919655
ES1,UNCLASSIFIED,bone,ewings_sarcoma,4.318685,0.935229
CML-T1,LCML,blood,chronic_myeloid_leukaemia,4.322967,0.961109
JVM-2,CLL,blood,lymphoid_neoplasm_other,4.334451,0.914241
LB1047-RCC,KIRC,kidney,kidney,4.404732,0.777083
EMC-BAC-2,LUAD,lung,lung_NSCLC_adenocarcinoma,4.427927,0.893474
TE-12,ESCA,aero_digestive_tract,oesophagus,4.429248,0.767041
BE-13,ALL,blood,lymphoblastic_leukemia,4.450744,0.934707
HGC-27,STAD,digestive_system,stomach,4.539854,0.940863
EM-2,LCML,blood,chronic_myeloid_leukaemia,4.557923,0.950493
KARPAS-45,ALL,blood,lymphoblastic_leukemia,4.639546,0.963900
DSH1,BLCA,urogenital_system,bladder,4.654441,0.905998
Ca-Ski,CESC,urogenital_system,cervix,4.679909,0.915109
JHH-1,LIHC,digestive_system,liver,4.696353,0.903764
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,4.764891,0.888388
UWB1.289,OV,urogenital_system,ovary,4.802892,0.789175
KYSE-50,ESCA,aero_digestive_tract,oesophagus,4.805230,0.931044
HT55,COREAD,digestive_system,large_intestine,4.807719,0.900794
HT-1376,BLCA,urogenital_system,bladder,4.841929,0.895383
DB,DLBC,blood,B_cell_lymphoma,4.877863,0.931902
KELLY,NB,nervous_system,neuroblastoma,4.880787,0.957860
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,4.895691,0.959528
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,4.929542,0.950370
786-0,KIRC,kidney,kidney,4.929584,0.916895
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,4.955893,0.944444
TOV-21G,OV,urogenital_system,ovary,4.986178,0.896290
MOLM-16,LAML,blood,acute_myeloid_leukaemia,4.987243,0.849648
NCI-H1688,SCLC,lung,lung_small_cell_carcinoma,5.010513,0.950388
JVM-3,CLL,blood,lymphoid_neoplasm_other,5.060710,0.943156
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,5.077444,0.949308
SU-DHL-10,DLBC,blood,B_cell_lymphoma,5.082637,0.979458
769-P,KIRC,kidney,kidney,5.084861,0.914193
CTV-1,LAML,blood,acute_myeloid_leukaemia,5.150630,0.974550
TE-4,ESCA,aero_digestive_tract,oesophagus,5.177437,0.944572
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,5.260396,0.987444
LN-229,GBM,nervous_system,glioma,5.261013,0.913496
OVISE,OV,urogenital_system,ovary,5.303877,0.906509
BICR78,HNSC,aero_digestive_tract,head_and_neck,5.315204,0.899507
EMC-BAC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,5.391386,0.811196
M14,SKCM,skin,melanoma,5.411366,0.923560
EFO-27,UNCLASSIFIED,urogenital_system,ovary,5.493641,0.791588
U031,KIRC,kidney,kidney,5.496363,0.822761
OVCAR-8,OV,urogenital_system,ovary,5.540343,0.950362
HOS,UNCLASSIFIED,bone,osteosarcoma,5.577191,0.948074
OACp4C,ESCA,aero_digestive_tract,oesophagus,5.601421,0.927312
EKVX,LUAD,lung,lung_NSCLC_adenocarcinoma,5.617027,0.765196
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,5.643256,0.954828
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,5.646602,0.897579
C-33-A,CESC,urogenital_system,cervix,5.773399,0.931405
LC4-1,ALL,blood,lymphoblastic_leukemia,5.808961,0.965425
ECC10,UNCLASSIFIED,digestive_system,stomach,5.852175,0.953735
KU-19-19,BLCA,urogenital_system,bladder,5.909869,0.941790
JHOS-2,OV,urogenital_system,ovary,5.918879,0.814660
DoTc2-4510,CESC,urogenital_system,cervix,5.930125,0.918042
MEG-01,LCML,blood,chronic_myeloid_leukaemia,5.939085,0.945862
ALL-PO,ALL,blood,lymphoblastic_leukemia,6.021305,0.972146
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,6.031216,0.929982
NCI-H1693,LUAD,lung,lung_NSCLC_adenocarcinoma,6.035820,0.860675
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,6.041949,0.949288
MFE-319,UCEC,urogenital_system,endometrium,6.090454,0.932784
DU-4475,BRCA,breast,breast,6.118074,0.975337
NCI-H1975,LUAD,lung,lung_NSCLC_adenocarcinoma,6.132338,0.913074
OCI-LY-19,DLBC,blood,B_cell_lymphoma,6.173908,0.872384
RT-112,BLCA,urogenital_system,bladder,6.212831,0.935086
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,6.256214,0.982117
23132-87,STAD,digestive_system,stomach,6.256954,0.935858
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,6.257022,0.953954
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,6.283870,0.859237
MDA-MB-468,BRCA,breast,breast,6.287433,0.929138
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,6.325731,0.959169
SK-MEL-28,SKCM,skin,melanoma,6.349182,0.816901
NB14,NB,nervous_system,neuroblastoma,6.362756,0.963298
AU565,BRCA,breast,breast,6.372553,0.944371
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,6.393503,0.835942
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,6.419543,0.936037
CW-2,COREAD,digestive_system,large_intestine,6.421572,0.943423
BV-173,LCML,blood,chronic_myeloid_leukaemia,6.421992,0.958584
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,6.469501,0.937981
NCI-H2795,MESO,lung,mesothelioma,6.488104,0.928546
ES8,UNCLASSIFIED,bone,ewings_sarcoma,6.547110,0.966749
NCI-H1781,LUAD,lung,lung_NSCLC_adenocarcinoma,6.619133,0.919078
WM793B,SKCM,skin,melanoma,6.652417,0.928105
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,6.658056,0.980848
RERF-GC-1B,STAD,digestive_system,stomach,6.663747,0.933384
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,6.719194,0.853938
LB771-HNC,HNSC,aero_digestive_tract,head_and_neck,6.732796,0.915426
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,6.806950,0.971227
TC-YIK,UNCLASSIFIED,urogenital_system,cervix,6.808175,0.954536
C-4-I,CESC,urogenital_system,cervix,6.821428,0.953183
COLO-824,BRCA,breast,breast,6.854413,0.934211
CAL-29,BLCA,urogenital_system,bladder,6.855180,0.944391
SW1116,COREAD,digestive_system,large_intestine,6.856913,0.921279
MOLT-4,ALL,blood,lymphoblastic_leukemia,6.890197,0.977724
NCCIT,-,urogenital_system,testis,6.896610,0.945941
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,6.949365,0.995595
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,6.956687,0.812140
TK,DLBC,blood,B_cell_lymphoma,6.958811,0.976635
OMC-1,CESC,urogenital_system,cervix,7.035145,0.830910
GDM-1,LAML,blood,acute_myeloid_leukaemia,7.039274,0.948081
KON,HNSC,aero_digestive_tract,head_and_neck,7.051578,0.862193
UACC-893,BRCA,breast,breast,7.069633,0.838986
IM-9,MM,blood,myeloma,7.085068,0.975183
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,7.107341,0.974427
HAL-01,ALL,blood,lymphoblastic_leukemia,7.110886,0.970386
RPMI-8226,MM,blood,myeloma,7.128254,0.971955
EVSA-T,BRCA,breast,breast,7.128727,0.964699
KYSE-410,ESCA,aero_digestive_tract,oesophagus,7.140471,0.886572
A101D,SKCM,skin,melanoma,7.140535,0.923298
SCC-9,HNSC,aero_digestive_tract,head_and_neck,7.148281,0.929539
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,7.201590,0.859975
JHOS-4,OV,urogenital_system,ovary,7.222394,0.841114
NCI-H358,LUAD,lung,lung_NSCLC_adenocarcinoma,7.267858,0.893489
IMR-5,NB,nervous_system,neuroblastoma,7.299265,0.977563
HCC2157,BRCA,breast,breast,7.362242,0.965698
SK-HEP-1,LIHC,digestive_system,liver,7.413366,0.944235
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,7.440008,0.860431
CHL-1,SKCM,skin,melanoma,7.499573,0.937466
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,7.513177,0.844877
NCI-H1876,SCLC,lung,lung_small_cell_carcinoma,7.527063,0.951023
RCC-ER,KIRC,kidney,kidney,7.527821,0.851621
SUP-B15,ALL,blood,lymphoblastic_leukemia,7.533838,0.982044
EPLC-272H,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,7.543099,0.928964
HCC1143,BRCA,breast,breast,7.563972,0.921723
OVTOKO,OV,urogenital_system,ovary,7.617447,0.911182
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,7.627752,0.941595
RT4,BLCA,urogenital_system,bladder,7.651517,0.946785
KCL-22,LCML,blood,chronic_myeloid_leukaemia,7.660767,0.967947
SF539,LGG,nervous_system,glioma,7.661480,0.957944
SNU-398,LIHC,digestive_system,liver,7.694759,0.935037
SU-DHL-16,DLBC,blood,B_cell_lymphoma,7.713346,0.916168
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,7.740471,0.929499
KMOE-2,LAML,blood,acute_myeloid_leukaemia,7.813868,0.969187
SW1463,COREAD,digestive_system,large_intestine,7.869293,0.932296
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,7.879656,0.975598
AGS,STAD,digestive_system,stomach,7.901810,0.948969
A2058,SKCM,skin,melanoma,7.992610,0.962946
HT-3,CESC,urogenital_system,cervix,8.043157,0.953373
NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,8.078698,0.860037
SNU-61,COREAD,digestive_system,large_intestine,8.226807,0.935255
OVCAR-3,OV,urogenital_system,ovary,8.229324,0.946996
H4,LGG,nervous_system,glioma,8.240947,0.958738
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,8.313225,0.928529
PFSK-1,MB,nervous_system,medulloblastoma,8.407026,0.954336
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,8.412342,0.871911
HCT-15,COREAD,digestive_system,large_intestine,8.508875,0.947235
NCI-H1563,LUAD,lung,lung_NSCLC_adenocarcinoma,8.521664,0.941446
KMRC-20,KIRC,kidney,kidney,8.534446,0.933185
OPM-2,MM,blood,myeloma,8.546182,0.979734
EW-12,UNCLASSIFIED,bone,ewings_sarcoma,8.573433,0.888469
CaR-1,COREAD,digestive_system,large_intestine,8.576501,0.941918
Hey,OV,urogenital_system,ovary,8.603504,0.917496
SNU-407,COREAD,digestive_system,large_intestine,8.635451,0.934488
MKN1,UNCLASSIFIED,digestive_system,stomach,8.635678,0.917511
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,8.641821,0.938349
BHY,HNSC,aero_digestive_tract,head_and_neck,8.644342,0.846395
TE-9,ESCA,aero_digestive_tract,oesophagus,8.644948,0.952222
LN-18,GBM,nervous_system,glioma,8.670298,0.948919
Caov-4,OV,urogenital_system,ovary,8.747817,0.921533
SCH,UNCLASSIFIED,digestive_system,stomach,8.801432,0.859009
NCI-H1694,SCLC,lung,lung_small_cell_carcinoma,8.841344,0.960927
BC-3,DLBC,blood,B_cell_lymphoma,9.024405,0.927026
EFM-192A,BRCA,breast,breast,9.030925,0.940094
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,9.086808,0.940964
PA-1,UNCLASSIFIED,urogenital_system,ovary,9.124472,0.955612
DMS-53,SCLC,lung,lung_small_cell_carcinoma,9.244698,0.946544
Farage,DLBC,blood,B_cell_lymphoma,9.260781,0.913061
SNU-C5,COREAD,digestive_system,large_intestine,9.346457,0.927564
EJM,MM,blood,lymphoid_neoplasm_other,9.352130,0.974292
EW-16,UNCLASSIFIED,bone,ewings_sarcoma,9.380081,0.941405
MZ7-mel,SKCM,skin,melanoma,9.404090,0.868015
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,9.442149,0.947714
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,9.496801,0.995241
SK-CO-1,COREAD,digestive_system,large_intestine,9.499407,0.942849
OCI-LY7,DLBC,blood,B_cell_lymphoma,9.518258,0.924260
KG-1,LAML,blood,acute_myeloid_leukaemia,9.549654,0.972818
KM12,COREAD,digestive_system,large_intestine,9.578946,0.943501
ES4,UNCLASSIFIED,bone,ewings_sarcoma,9.589295,0.937902
TUR,DLBC,blood,B_cell_lymphoma,9.681866,0.987422
A4-Fuk,DLBC,blood,B_cell_lymphoma,9.795711,0.972727
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,9.803081,0.961931
DND-41,ALL,blood,T_cell_leukemia,9.824887,0.988562
647-V,BLCA,urogenital_system,bladder,9.839615,0.961913
HCC1937,BRCA,breast,breast,9.917575,0.928874
A704,KIRC,kidney,kidney,9.924366,0.943725
HOP-92,UNCLASSIFIED,lung,lung_NSCLC_large_cell,10.062871,0.929477
MDA-MB-361,BRCA,breast,breast,10.116011,0.960524
DMS-273,SCLC,lung,lung_small_cell_carcinoma,10.144476,0.954375
A2780,UNCLASSIFIED,urogenital_system,ovary,10.153504,0.943529
TK10,KIRC,kidney,kidney,10.209661,0.853682
BONNA-12,-,blood,hairy_cell_leukaemia,10.239914,0.891716
TOV-112D,OV,urogenital_system,ovary,10.367178,0.965222
GB-1,GBM,nervous_system,glioma,10.386430,0.918878
RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,10.395595,0.923529
MES-SA,UNCLASSIFIED,urogenital_system,uterus,10.396536,0.956687
NH-12,NB,nervous_system,neuroblastoma,10.396774,0.941952
NCI-H716,COREAD,digestive_system,large_intestine,10.493937,0.933048
TCCSUP,BLCA,urogenital_system,bladder,10.524867,0.934624
NUGC-4,STAD,digestive_system,stomach,10.525187,0.898174
SW156,KIRC,kidney,kidney,10.610782,0.854024
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,10.625848,0.977055
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,10.691252,0.984912
NCI-H2066,SCLC,lung,lung_small_cell_carcinoma,10.739223,0.903662
NCI-H841,SCLC,lung,lung_small_cell_carcinoma,10.741034,0.947965
L-363,MM,blood,myeloma,10.763483,0.989248
639-V,BLCA,urogenital_system,bladder,10.788506,0.962736
LS-180,COREAD,digestive_system,large_intestine,10.816429,0.933634
NB4,LAML,blood,acute_myeloid_leukaemia,10.843908,0.937477
HCC1419,BRCA,breast,breast,10.977368,0.964609
MS751,CESC,urogenital_system,cervix,11.021741,0.970893
HT-144,SKCM,skin,melanoma,11.066661,0.957941
CHP-134,NB,nervous_system,neuroblastoma,11.069585,0.969305
SBC-5,SCLC,lung,lung_small_cell_carcinoma,11.070648,0.972342
MSTO-211H,MESO,lung,mesothelioma,11.075223,0.950956
HCC1954,BRCA,breast,breast,11.104536,0.965351
GCIY,STAD,digestive_system,stomach,11.117268,0.919466
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,11.152182,0.924245
SN12C,KIRC,kidney,kidney,11.157917,0.946894
MM1S,MM,blood,myeloma,11.210512,0.988346
DOHH-2,DLBC,blood,B_cell_lymphoma,11.227299,0.974183
G-361,SKCM,skin,melanoma,11.240049,0.954882
NCI-H1792,LUAD,lung,lung_NSCLC_adenocarcinoma,11.241763,0.967971
PWR-1E,PRAD,urogenital_system,prostate,11.247535,0.964196
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,11.330768,0.959999
SK-OV-3,OV,urogenital_system,ovary,11.333414,0.906146
NCI-H2818,MESO,lung,mesothelioma,11.418880,0.939597
OE19,ESCA,aero_digestive_tract,oesophagus,11.507781,0.936320
AMO-1,MM,blood,haematopoietic_neoplasm_other,11.524933,0.983319
LB2241-RCC,KIRC,kidney,kidney,11.550325,0.859917
U-87-MG,GBM,nervous_system,glioma,11.581994,0.942791
FTC-133,THCA,thyroid,thyroid,11.661568,0.950803
MDA-MB-330,BRCA,breast,breast,11.776758,0.851279
TYK-nu,UNCLASSIFIED,urogenital_system,ovary,11.824586,0.917568
HCC1187,BRCA,breast,breast,11.897716,0.967515
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,11.945354,0.977788
AM-38,GBM,nervous_system,glioma,11.977054,0.954655
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,11.987834,0.994736
NOMO-1,LAML,blood,acute_myeloid_leukaemia,11.991612,0.976444
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,12.033599,0.907353
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,12.178855,0.878946
SKN-3,HNSC,aero_digestive_tract,head_and_neck,12.211403,0.952848
Daoy,MB,nervous_system,medulloblastoma,12.216189,0.968448
SU-DHL-6,DLBC,blood,B_cell_lymphoma,12.312324,0.992712
D-283MED,MB,nervous_system,medulloblastoma,12.408429,0.976578
A253,UNCLASSIFIED,aero_digestive_tract,head_and_neck,12.491711,0.971715
B-CPAP,THCA,thyroid,thyroid,12.513963,0.944998
GP5d,COREAD,digestive_system,large_intestine,12.555028,0.968316
