"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
LoVo,COREAD,digestive_system,large_intestine,2.658129,0.734860
CAL-148,BRCA,breast,breast,2.670908,0.768759
CML-T1,LCML,blood,chronic_myeloid_leukaemia,2.694528,0.795199
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,2.711420,0.790537
CAL-54,KIRC,kidney,kidney,2.727824,0.735981
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,2.838116,0.786274
RC-K8,DLBC,blood,B_cell_lymphoma,2.851400,0.766584
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.037178,0.799996
G-MEL,SKCM,skin,melanoma,3.078118,0.796838
MZ2-MEL,SKCM,skin,melanoma,3.132354,0.768486
RCC-JF,KIRC,kidney,kidney,3.175684,0.769443
KP-N-RT-BM-1,NB,nervous_system,neuroblastoma,3.295107,0.775864
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,3.343433,0.801882
A2780,UNCLASSIFIED,urogenital_system,ovary,3.403311,0.775023
OCI-AML3,LAML,blood,acute_myeloid_leukaemia,3.414362,0.801883
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,3.476232,0.782226
GP5d,COREAD,digestive_system,large_intestine,3.684332,0.802894
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,3.714984,0.781157
KGN,UNCLASSIFIED,urogenital_system,ovary,3.786864,0.781158
NB69,NB,nervous_system,neuroblastoma,3.796557,0.789688
SK-CO-1,COREAD,digestive_system,large_intestine,3.844817,0.787982
SW48,COREAD,digestive_system,large_intestine,3.990420,0.779275
Farage,DLBC,blood,B_cell_lymphoma,4.017788,0.835117
LS-513,COREAD,digestive_system,large_intestine,4.081444,0.786185
MOLP-8,MM,blood,myeloma,4.099290,0.828307
NH-12,NB,nervous_system,neuroblastoma,4.105752,0.789704
BC-3,DLBC,blood,B_cell_lymphoma,4.260363,0.854037
NB10,NB,nervous_system,neuroblastoma,4.264020,0.817306
CHP-212,NB,nervous_system,neuroblastoma,4.310513,0.805728
SNU-175,COREAD,digestive_system,large_intestine,4.520487,0.813860
YT,ALL,blood,lymphoid_neoplasm_other,4.688258,0.846988
CTV-1,LAML,blood,acute_myeloid_leukaemia,4.689611,0.862881
MM1S,MM,blood,myeloma,4.830792,0.861874
SK-N-SH,NB,nervous_system,neuroblastoma,4.832854,0.805491
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,4.849172,0.835058
LS-180,COREAD,digestive_system,large_intestine,4.871417,0.794295
RF-48,STAD,digestive_system,stomach,4.904517,0.823636
G-401,UNCLASSIFIED,kidney,kidney,4.910452,0.796598
LAN-6,NB,nervous_system,neuroblastoma,5.014399,0.810764
D-283MED,MB,nervous_system,medulloblastoma,5.034319,0.844089
G-402,UNCLASSIFIED,soft_tissue,soft_tissue_other,5.045092,0.805052
STS-0421,UNCLASSIFIED,soft_tissue,soft_tissue_other,5.084383,0.817396
LB996-RCC,KIRC,kidney,kidney,5.233683,0.798759
P30-OHK,ALL,blood,lymphoblastic_leukemia,5.444243,0.878473
ACHN,KIRC,kidney,kidney,5.463022,0.793568
SLVL,DLBC,blood,B_cell_lymphoma,5.624512,0.841972
SIMA,NB,nervous_system,neuroblastoma,5.730697,0.835461
AGS,STAD,digestive_system,stomach,5.772429,0.837517
REH,UNCLASSIFIED,blood,B_cell_leukemia,5.893966,0.871063
LOXIMVI,SKCM,skin,melanoma,5.900402,0.837402
SBC-3,SCLC,lung,lung_small_cell_carcinoma,5.921222,0.833757
MRK-nu-1,BRCA,breast,breast,5.930960,0.868712
Hs-633T,UNCLASSIFIED,soft_tissue,fibrosarcoma,5.974710,0.855758
CP50-MEL-B,SKCM,skin,melanoma,5.988711,0.838898
CTB-1,DLBC,blood,B_cell_lymphoma,6.057486,0.814521
PA-1,UNCLASSIFIED,urogenital_system,ovary,6.101642,0.844216
GOTO,NB,nervous_system,neuroblastoma,6.129888,0.836399
A375,SKCM,skin,melanoma,6.200324,0.835903
HCT-116,COREAD,digestive_system,large_intestine,6.697646,0.854542
A172,GBM,nervous_system,glioma,6.753844,0.834177
SUP-B8,UNCLASSIFIED,blood,B_cell_leukemia,6.788364,0.897252
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,6.851609,0.872596
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,6.874399,0.827201
769-P,KIRC,kidney,kidney,6.917955,0.835374
VMRC-MELG,SKCM,skin,melanoma,6.938358,0.813760
JM1,DLBC,blood,B_cell_lymphoma,7.310856,0.913899
D-247MG,GBM,nervous_system,glioma,7.447899,0.816882
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,7.523130,0.838161
NB12,NB,nervous_system,neuroblastoma,7.616288,0.844403
MES-SA,UNCLASSIFIED,urogenital_system,uterus,7.698226,0.859137
NCI-H2795,MESO,lung,mesothelioma,7.846027,0.848245
U031,KIRC,kidney,kidney,7.867194,0.852512
SNU-407,COREAD,digestive_system,large_intestine,7.928566,0.842863
K5,THCA,thyroid,thyroid,7.940668,0.845924
SW156,KIRC,kidney,kidney,8.382779,0.837007
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,8.395258,0.846359
GRANTA-519,DLBC,blood,B_cell_lymphoma,8.610148,0.862483
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,8.718677,0.885796
MN-60,UNCLASSIFIED,blood,B_cell_leukemia,8.720437,0.861077
NCI-H290,MESO,lung,mesothelioma,8.757500,0.862291
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,8.884421,0.899699
KS-1,GBM,nervous_system,glioma,9.034589,0.847480
MDST8,COREAD,digestive_system,large_intestine,9.131266,0.870496
DOV13,OV,urogenital_system,ovary,9.403932,0.883976
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,9.465348,0.902094
HT-144,SKCM,skin,melanoma,9.492515,0.873822
MKN45,STAD,digestive_system,stomach,9.562065,0.837484
Daudi,UNCLASSIFIED,blood,Burkitt_lymphoma,9.616021,0.910369
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,9.691694,0.889632
23132-87,STAD,digestive_system,stomach,9.925321,0.874869
A101D,SKCM,skin,melanoma,10.095318,0.856379
IHH-4,THCA,thyroid,thyroid,10.646884,0.887728
OVCA433,OV,urogenital_system,ovary,10.758488,0.846878
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,10.909414,0.840526
SK-MEL-31,SKCM,skin,melanoma,11.152931,0.850453
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,11.222504,0.861251
HCC1500,BRCA,breast,breast,11.637688,0.897270
D-392MG,GBM,nervous_system,glioma,11.929903,0.858011
CW-2,COREAD,digestive_system,large_intestine,12.042647,0.895078
RT4,BLCA,urogenital_system,bladder,12.148382,0.891812
HT-1197,BLCA,urogenital_system,bladder,12.261193,0.861647
KU-19-19,BLCA,urogenital_system,bladder,12.273191,0.898235
KP-N-YN,NB,nervous_system,neuroblastoma,12.537012,0.858059
MZ7-mel,SKCM,skin,melanoma,12.955472,0.890119
D-245MG,GBM,nervous_system,glioma,13.255659,0.856244
D-502MG,LGG,nervous_system,glioma,13.413233,0.840453
Hs-939-T,SKCM,skin,melanoma,13.866926,0.869801
NCI-H2052,MESO,lung,mesothelioma,13.880424,0.870949
JEG-3,UNCLASSIFIED,urogenital_system,urogenital_system_other,14.237905,0.910914
NU-DUL-1,DLBC,blood,B_cell_lymphoma,14.422446,0.940260
CAL-51,BRCA,breast,breast,14.464616,0.890913
RKO,COREAD,digestive_system,large_intestine,14.470570,0.909695
TOV-21G,OV,urogenital_system,ovary,14.521389,0.869439
WM793B,SKCM,skin,melanoma,14.758509,0.889256
HMV-II,SKCM,skin,melanoma,14.816082,0.870735
Hey,OV,urogenital_system,ovary,15.099456,0.867566
22RV1,PRAD,urogenital_system,prostate,15.113253,0.859404
IGROV-1,OV,urogenital_system,ovary,15.267195,0.870949
SU-DHL-6,DLBC,blood,B_cell_lymphoma,15.311056,0.957345
WM-115,SKCM,skin,melanoma,15.312547,0.867548
MCF7,BRCA,breast,breast,15.460906,0.872919
ALL-PO,ALL,blood,lymphoblastic_leukemia,15.486379,0.946488
SNG-M,UCEC,urogenital_system,endometrium,15.747388,0.915456
LB2518-MEL,SKCM,skin,melanoma,15.910906,0.901568
RCC-AB,KIRC,kidney,kidney,16.112110,0.867049
Mo-T,UNCLASSIFIED,blood,hairy_cell_leukaemia,17.156683,0.901723
KE-37,ALL,blood,lymphoblastic_leukemia,17.739654,0.961959
GI-ME-N,NB,nervous_system,neuroblastoma,17.791396,0.873033
A204,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,18.236919,0.880444
NCI-H2373,MESO,lung,mesothelioma,18.261846,0.870228
PL-21,LAML,blood,acute_myeloid_leukaemia,18.623794,0.930394
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,18.670873,0.939423
CAKI-1,KIRC,kidney,kidney,19.114277,0.858205
EMC-BAC-2,LUAD,lung,lung_NSCLC_adenocarcinoma,19.658382,0.890269
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,19.840792,0.942356
YMB-1-E,BRCA,breast,breast,20.917461,0.903532
C3A,LIHC,digestive_system,liver,21.190361,0.865187
NCI-H1944,LUAD,lung,lung_NSCLC_adenocarcinoma,21.248657,0.886130
K2,SKCM,skin,melanoma,21.462329,0.896110
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,21.486201,0.946408
HA7-RCC,KIRC,kidney,kidney,22.086971,0.904834
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,22.237536,0.958226
RCC-MF,KIRC,kidney,kidney,22.299262,0.922056
IST-MES1,MESO,lung,mesothelioma,22.360247,0.895253
LB373-MEL-D,SKCM,skin,melanoma,23.348705,0.928573
UACC-812,BRCA,breast,breast,23.382222,0.900150
SU-DHL-10,DLBC,blood,B_cell_lymphoma,24.467516,0.979042
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,24.707479,0.876918
Hs-683,LGG,nervous_system,glioma,24.764365,0.932012
GR-ST,ALL,blood,lymphoblastic_leukemia,25.487259,0.914466
RPMI-8402,ALL,blood,lymphoblastic_T_cell_leukaemia,25.713675,0.963909
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,26.027106,0.987131
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,26.067866,0.967402
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,26.127082,0.965948
BE-13,ALL,blood,lymphoblastic_leukemia,26.327193,0.944098
KNS-81-FD,LGG,nervous_system,glioma,26.347626,0.899764
BICR31,HNSC,aero_digestive_tract,head_and_neck,26.357236,0.952760
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,26.431608,0.978424
CCK-81,COREAD,digestive_system,large_intestine,26.591784,0.936837
WM278,SKCM,skin,melanoma,26.641010,0.889798
KY821,LAML,blood,leukemia,26.703874,0.960226
KU812,LCML,blood,chronic_myeloid_leukaemia,26.873903,0.945947
WSU-DLCL2,DLBC,blood,B_cell_lymphoma,26.977020,0.971538
NCI-H2869,MESO,lung,mesothelioma,27.423865,0.902789
MEL-HO,SKCM,skin,melanoma,28.014527,0.928523
SNU-1,STAD,digestive_system,stomach,28.275661,0.944678
U-87-MG,GBM,nervous_system,glioma,28.295319,0.916496
SIG-M5,LAML,blood,acute_myeloid_leukaemia,28.443299,0.989231
HSC-39,STAD,digestive_system,stomach,28.496671,0.977448
FU97,STAD,digestive_system,stomach,28.648663,0.900024
OVTOKO,OV,urogenital_system,ovary,29.127040,0.901657
NCI-H2803,MESO,lung,mesothelioma,29.497010,0.923368
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,29.636609,0.953631
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,29.792968,0.973473
SU-DHL-16,DLBC,blood,B_cell_lymphoma,30.323414,0.985596
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,30.392603,0.960758
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,30.580826,0.941140
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,30.630512,0.963101
KARPAS-45,ALL,blood,lymphoblastic_leukemia,30.791538,0.974214
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,30.968074,0.958182
NCI-H2810,MESO,lung,mesothelioma,31.636592,0.931118
RXF393,KIRC,kidney,kidney,31.836215,0.922559
UACC-62,SKCM,skin,melanoma,31.923278,0.930128
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,34.168396,0.995581
SH-4,SKCM,skin,melanoma,34.611807,0.923389
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,34.628487,0.955792
KMS-12-BM,MM,blood,myeloma,34.917947,0.979903
ES4,UNCLASSIFIED,bone,ewings_sarcoma,35.388517,0.928122
SW780,BLCA,urogenital_system,bladder,35.672366,0.926917
OVMIU,OV,urogenital_system,ovary,35.806188,0.886143
RCC-JW,KIRC,kidney,kidney,35.927455,0.923286
Jurkat,ALL,blood,T_cell_leukemia,36.478866,0.975106
SK-MEL-24,SKCM,skin,melanoma,37.592015,0.916419
NCI-H835,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,38.218692,0.957677
NCI-H2722,MESO,lung,mesothelioma,38.777734,0.858314
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,38.838404,0.964952
NB5,NB,nervous_system,neuroblastoma,39.367894,0.930894
EB-3,UNCLASSIFIED,blood,Burkitt_lymphoma,39.655452,0.942633
HL-60,LAML,blood,acute_myeloid_leukaemia,39.775321,0.968234
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,40.365597,0.990278
RH-41,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,40.563762,0.968780
MEG-01,LCML,blood,chronic_myeloid_leukaemia,40.632365,0.958610
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,41.087454,0.957244
NB14,NB,nervous_system,neuroblastoma,41.503747,0.972194
DB,DLBC,blood,B_cell_lymphoma,41.576115,0.954698
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,41.739528,0.985241
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,41.793965,0.983472
OVISE,OV,urogenital_system,ovary,41.971942,0.929192
SK-HEP-1,LIHC,digestive_system,liver,42.088357,0.950425
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,42.244056,0.976691
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,42.288772,0.945243
MEL-JUSO,SKCM,skin,melanoma,42.647457,0.946989
LU-99A,UNCLASSIFIED,lung,lung_NSCLC_large_cell,42.894900,0.891551
SCC-3,DLBC,blood,B_cell_lymphoma,43.058839,0.983905
Ramos-2G6-4C10,UNCLASSIFIED,blood,Burkitt_lymphoma,43.188748,0.991603
NCI-H2461,MESO,lung,mesothelioma,43.315111,0.894040
JEKO-1,DLBC,blood,B_cell_lymphoma,43.452082,0.975544
KCL-22,LCML,blood,chronic_myeloid_leukaemia,43.680778,0.972476
AM-38,GBM,nervous_system,glioma,44.270173,0.946415
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,44.285424,0.980610
NB(TU)1-10,NB,nervous_system,neuroblastoma,44.467195,0.957536
ES8,UNCLASSIFIED,bone,ewings_sarcoma,44.599155,0.976111
OPM-2,MM,blood,myeloma,44.656418,0.981288
MS-1,SCLC,lung,lung_small_cell_carcinoma,44.841161,0.971691
MC-IXC,NB,nervous_system,neuroblastoma,45.245340,0.969383
Hep3B2-1-7,LIHC,digestive_system,liver,45.972773,0.968710
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,47.885136,0.972788
EW-12,UNCLASSIFIED,bone,ewings_sarcoma,48.109350,0.972838
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,48.877622,0.973826
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,49.143504,0.961451
DND-41,ALL,blood,T_cell_leukemia,49.159337,0.988930
NB1,NB,nervous_system,neuroblastoma,49.238595,0.938665
WM35,SKCM,skin,melanoma,49.293742,0.945583
MC116,DLBC,blood,B_cell_lymphoma,49.517348,0.993818
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,49.761886,0.974445
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,49.855968,0.968204
NCI-H28,MESO,lung,mesothelioma,49.872245,0.865091
NCI-H1666,LUAD,lung,lung_NSCLC_adenocarcinoma,50.344546,0.897644
RCC10RGB,KIRC,kidney,kidney,50.596778,0.885380
A388,UNCLASSIFIED,skin,skin_other,51.116989,0.939290
NCI-H1563,LUAD,lung,lung_NSCLC_adenocarcinoma,51.475085,0.949652
NCI-H2818,MESO,lung,mesothelioma,51.576043,0.937894
L-363,MM,blood,myeloma,51.738616,0.989048
A498,KIRC,kidney,kidney,52.110551,0.930540
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,52.928702,0.989883
EW-3,UNCLASSIFIED,bone,ewings_sarcoma,53.206363,0.948515
NB4,LAML,blood,acute_myeloid_leukaemia,53.756230,0.992041
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,54.238485,0.989120
ARH-77,MM,blood,myeloma,54.542387,0.975845
A4-Fuk,DLBC,blood,B_cell_lymphoma,54.640756,0.976079
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,55.211871,0.970602
MFH-ino,UNCLASSIFIED,soft_tissue,soft_tissue_other,55.246665,0.911916
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,55.672935,0.966360
ALL-SIL,ALL,blood,T_cell_leukemia,55.710286,0.984516
RPMI-7951,SKCM,skin,melanoma,55.999927,0.966600
SK-N-DZ,NB,nervous_system,neuroblastoma,56.379871,0.969914
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,56.428248,0.966903
GAK,SKCM,skin,melanoma,57.258028,0.961190
KMRC-1,KIRC,kidney,kidney,57.321145,0.942894
HeLa,CESC,urogenital_system,cervix,57.324905,0.979024
WM1552C,SKCM,skin,melanoma,57.563310,0.946748
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,58.333649,0.968916
CPC-N,SCLC,lung,lung_small_cell_carcinoma,58.748900,0.970278
KELLY,NB,nervous_system,neuroblastoma,58.919937,0.982894
COLO-792,SKCM,skin,melanoma,58.993970,0.957021
LNZTA3WT4,GBM,nervous_system,glioma,59.010618,0.954112
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,59.076158,0.958986
NCI-H1437,LUAD,lung,lung_NSCLC_adenocarcinoma,59.794938,0.957372
OVK-18,OV,urogenital_system,ovary,60.299039,0.945931
MHH-PREB-1,UNCLASSIFIED,blood,B_cell_leukemia,60.544975,0.983423
TUR,DLBC,blood,B_cell_lymphoma,60.832798,0.990876
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,61.172089,0.973445
YKG-1,GBM,nervous_system,glioma,61.256119,0.951632
NCI-H1688,SCLC,lung,lung_small_cell_carcinoma,61.309741,0.978138
JHOS-4,OV,urogenital_system,ovary,61.792637,0.955269
EM-2,LCML,blood,chronic_myeloid_leukaemia,62.581874,0.981164
MDA-MB-175-VII,BRCA,breast,breast,62.704052,0.892967
D-566MG,GBM,nervous_system,glioma,62.777275,0.976596
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,63.310514,0.956461
KMH-2,THCA,thyroid,thyroid,63.464838,0.976838
SU-DHL-4,DLBC,blood,B_cell_lymphoma,63.567402,0.990049
VA-ES-BJ,UNCLASSIFIED,soft_tissue,soft_tissue_other,64.218023,0.936686
CAL-72,UNCLASSIFIED,bone,osteosarcoma,64.315225,0.948025
AN3-CA,UCEC,urogenital_system,endometrium,64.369838,0.967713
no-10,LGG,nervous_system,glioma,64.885255,0.951015
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,65.009404,0.976063
COLO-679,SKCM,skin,melanoma,65.302792,0.942484
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,65.342333,0.960524
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,65.453514,0.985884
OCI-M1,LAML,blood,acute_myeloid_leukaemia,65.635404,0.987936
JJN-3,MM,blood,haematopoietic_neoplasm_other,66.137721,0.989185
U-2-OS,UNCLASSIFIED,bone,osteosarcoma,66.410964,0.962693
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,66.609593,0.961017
OV-17R,OV,urogenital_system,ovary,67.345628,0.954340
RCC-FG2,KIRC,kidney,kidney,67.500505,0.953596
TE-10,ESCA,aero_digestive_tract,oesophagus,67.652753,0.968849
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,69.702066,0.988891
LU-135,SCLC,lung,lung_small_cell_carcinoma,70.046613,0.970713
K-562,LCML,blood,chronic_myeloid_leukaemia,70.112915,0.971923
NOMO-1,LAML,blood,acute_myeloid_leukaemia,70.206935,0.980229
A704,KIRC,kidney,kidney,70.545752,0.956229
SF126,GBM,nervous_system,glioma,70.748738,0.968129
COLO-320-HSR,COREAD,digestive_system,large_intestine,70.878068,0.980150
PFSK-1,MB,nervous_system,medulloblastoma,70.935925,0.970086
A431,UNCLASSIFIED,skin,skin_other,71.087836,0.955365
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,72.308844,0.978804
HEL,LAML,blood,acute_myeloid_leukaemia,72.401629,0.993434
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,72.578260,0.981682
MMAc-SF,SKCM,skin,melanoma,72.968444,0.954407
CAL-39,CESC,urogenital_system,cervix,73.342176,0.963751
KG-1,LAML,blood,acute_myeloid_leukaemia,73.581814,0.982388
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,73.848711,0.978301
DJM-1,UNCLASSIFIED,skin,skin_other,73.997693,0.968042
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,74.203265,0.980677
TE-4,ESCA,aero_digestive_tract,oesophagus,74.717268,0.977321
COLO-684,UCEC,urogenital_system,endometrium,74.963503,0.949798
Raji,UNCLASSIFIED,blood,Burkitt_lymphoma,75.187827,0.987199
MONO-MAC-6,LAML,blood,acute_myeloid_leukaemia,76.170923,0.982014
MFE-319,UCEC,urogenital_system,endometrium,76.307291,0.964741
T47D,BRCA,breast,breast,76.318546,0.962076
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,76.620643,0.968864
NCI-H1734,LUAD,lung,lung_NSCLC_adenocarcinoma,76.687493,0.982930
IM-95,STAD,digestive_system,stomach,77.861770,0.964263
BFTC-909,KIRC,kidney,kidney,78.244039,0.970269
H-EMC-SS,UNCLASSIFIED,bone,chondrosarcoma,78.271922,0.924652
C-33-A,CESC,urogenital_system,cervix,78.618275,0.966158
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,78.645866,0.977318
TGW,NB,nervous_system,neuroblastoma,79.077415,0.974651
TC-71,UNCLASSIFIED,bone,ewings_sarcoma,79.273561,0.983498
ES7,UNCLASSIFIED,bone,ewings_sarcoma,79.400477,0.975339
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,80.152878,0.978244
ROS-50,UNCLASSIFIED,blood,B_cell_leukemia,80.564734,0.953097
SU-DHL-8,DLBC,blood,B_cell_lymphoma,82.215145,0.996853
NCI-H146,SCLC,lung,lung_small_cell_carcinoma,82.218330,0.966343
