"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
NCI-H1688,SCLC,lung,lung_small_cell_carcinoma,5.883213,0.956693
SK-MEL-31,SKCM,skin,melanoma,5.916261,0.802951
MDA-MB-468,BRCA,breast,breast,5.916433,0.855222
CW-2,COREAD,digestive_system,large_intestine,5.959873,0.940384
LB2518-MEL,SKCM,skin,melanoma,5.985635,0.830839
PL-21,LAML,blood,acute_myeloid_leukaemia,5.987997,0.850555
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,6.012795,0.963549
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,6.023635,0.962971
BT-549,BRCA,breast,breast,6.035143,0.831859
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,6.046949,0.851446
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,6.062781,0.977102
AU565,BRCA,breast,breast,6.072411,0.870397
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,6.090836,0.958892
P30-OHK,ALL,blood,lymphoblastic_leukemia,6.097450,0.979776
SK-MEL-30,SKCM,skin,melanoma,6.159238,0.825288
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,6.196008,0.895175
Hs-746T,STAD,digestive_system,stomach,6.209591,0.897727
MEL-HO,SKCM,skin,melanoma,6.228198,0.831809
SHP-77,SCLC,lung,lung_small_cell_carcinoma,6.241804,0.954525
CAL-54,KIRC,kidney,kidney,6.270836,0.902794
JiyoyeP-2003,UNCLASSIFIED,blood,Burkitt_lymphoma,6.282569,0.957358
IPC-298,SKCM,skin,melanoma,6.285654,0.833181
SJRH30,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,6.292506,0.959734
Jurkat,ALL,blood,T_cell_leukemia,6.326494,0.970236
SK-CO-1,COREAD,digestive_system,large_intestine,6.334167,0.926838
BC-3,DLBC,blood,B_cell_lymphoma,6.347401,0.896212
MS751,CESC,urogenital_system,cervix,6.424378,0.954538
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,6.456115,0.806278
RCC-JF,KIRC,kidney,kidney,6.465559,0.834812
FTC-133,THCA,thyroid,thyroid,6.493909,0.929151
42-MG-BA,GBM,nervous_system,glioma,6.540478,0.938462
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,6.621202,0.980020
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,6.630216,0.846551
MZ7-mel,SKCM,skin,melanoma,6.675180,0.841224
HeLa,CESC,urogenital_system,cervix,6.677962,0.964188
HCC1428,BRCA,breast,breast,6.707217,0.825192
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,6.715514,0.991325
KARPAS-45,ALL,blood,lymphoblastic_leukemia,6.715520,0.975805
NCI-H211,SCLC,lung,lung_small_cell_carcinoma,6.782142,0.959686
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,6.816542,0.960386
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,6.837375,0.830566
NCI-H2029,SCLC,lung,lung_small_cell_carcinoma,6.866998,0.856665
T-T,ESCA,aero_digestive_tract,oesophagus,6.886583,0.948415
DOHH-2,DLBC,blood,B_cell_lymphoma,7.002125,0.934144
NCI-H69,SCLC,lung,lung_small_cell_carcinoma,7.005114,0.936446
COLO-800,SKCM,skin,melanoma,7.024503,0.841229
D-566MG,GBM,nervous_system,glioma,7.063395,0.869174
COLO-679,SKCM,skin,melanoma,7.092246,0.917325
REH,UNCLASSIFIED,blood,B_cell_leukemia,7.112488,0.972257
HGC-27,STAD,digestive_system,stomach,7.114139,0.958680
A431,UNCLASSIFIED,skin,skin_other,7.122683,0.834847
D-423MG,GBM,nervous_system,glioma,7.137882,0.851724
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,7.159873,0.995862
HL-60,LAML,blood,acute_myeloid_leukaemia,7.180225,0.964098
M14,SKCM,skin,melanoma,7.298269,0.936476
H4,LGG,nervous_system,glioma,7.401292,0.955152
COLO-205,COREAD,digestive_system,large_intestine,7.418239,0.930199
DMS-273,SCLC,lung,lung_small_cell_carcinoma,7.435941,0.943598
NALM-6,UNCLASSIFIED,blood,B_cell_leukemia,7.436114,0.967422
451Lu,SKCM,skin,melanoma,7.442823,0.847644
KP-1N,PAAD,pancreas,pancreas,7.454425,0.932334
EW-1,UNCLASSIFIED,bone,ewings_sarcoma,7.460297,0.960094
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,7.505757,0.861143
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,7.524688,0.964747
TYK-nu,UNCLASSIFIED,urogenital_system,ovary,7.577665,0.898907
JHOS-4,OV,urogenital_system,ovary,7.636865,0.845537
PFSK-1,MB,nervous_system,medulloblastoma,7.758705,0.951582
KU-19-19,BLCA,urogenital_system,bladder,7.796884,0.952346
COR-L303,SCLC,lung,lung_small_cell_carcinoma,7.809268,0.875076
HT-144,SKCM,skin,melanoma,7.886773,0.946782
SK-MEL-3,SKCM,skin,melanoma,8.007199,0.849865
ZR-75-30,BRCA,breast,breast,8.058659,0.834597
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,8.198095,0.960135
UACC-62,SKCM,skin,melanoma,8.240096,0.938344
OV-17R,OV,urogenital_system,ovary,8.252889,0.847030
NCI-H2081,SCLC,lung,lung_small_cell_carcinoma,8.276126,0.846546
CRO-AP2,DLBC,blood,B_cell_lymphoma,8.279529,0.903049
SU-DHL-16,DLBC,blood,B_cell_lymphoma,8.315784,0.922562
IST-SL1,SCLC,lung,lung_small_cell_carcinoma,8.332874,0.901344
Hey,OV,urogenital_system,ovary,8.418353,0.916586
EW-22,UNCLASSIFIED,bone,ewings_sarcoma,8.431783,0.948956
LU-135,SCLC,lung,lung_small_cell_carcinoma,8.475584,0.955747
NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,8.517804,0.864122
DJM-1,UNCLASSIFIED,skin,skin_other,8.638025,0.866170
KYSE-220,ESCA,aero_digestive_tract,oesophagus,8.700367,0.942277
SF126,GBM,nervous_system,glioma,8.841166,0.869673
A388,UNCLASSIFIED,skin,skin_other,8.858937,0.844778
KMH-2,THCA,thyroid,thyroid,8.874946,0.887529
JEKO-1,DLBC,blood,B_cell_lymphoma,8.895821,0.899165
RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,8.923489,0.912217
RCC-ER,KIRC,kidney,kidney,9.003127,0.865432
KM-H2,UNCLASSIFIED,blood,Hodgkin_lymphoma,9.049241,0.973287
NCI-H835,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,9.050790,0.961729
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,9.089487,0.889460
SK-N-DZ,NB,nervous_system,neuroblastoma,9.102135,0.963091
KON,HNSC,aero_digestive_tract,head_and_neck,9.146673,0.882794
HT-115,COREAD,digestive_system,large_intestine,9.173807,0.875820
HOS,UNCLASSIFIED,bone,osteosarcoma,9.189900,0.965225
MDA-MB-231,BRCA,breast,breast,9.202132,0.890616
NCI-H2196,SCLC,lung,lung_small_cell_carcinoma,9.320501,0.851595
Hs-445,UNCLASSIFIED,blood,Hodgkin_lymphoma,9.590048,0.967590
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,9.615414,0.861151
TK,DLBC,blood,B_cell_lymphoma,9.675146,0.983880
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,9.728398,0.938299
UACC-893,BRCA,breast,breast,9.791192,0.864287
ECC10,UNCLASSIFIED,digestive_system,stomach,9.821414,0.970158
MZ2-MEL,SKCM,skin,melanoma,9.828644,0.867855
no-10,LGG,nervous_system,glioma,9.844369,0.857183
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,9.855118,0.985975
HTC-C3,THCA,thyroid,thyroid,10.025194,0.936392
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,10.054206,0.922572
AGS,STAD,digestive_system,stomach,10.075489,0.957043
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,10.086116,0.967306
HDQ-P1,BRCA,breast,breast,10.154228,0.883172
TE-11,ESCA,aero_digestive_tract,oesophagus,10.155523,0.892090
KG-1,LAML,blood,acute_myeloid_leukaemia,10.209458,0.974435
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,10.219686,0.956935
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,10.275336,0.950264
MV-4-11,UNCLASSIFIED,blood,leukemia,10.315070,0.990397
WM793B,SKCM,skin,melanoma,10.351228,0.945059
L-1236,UNCLASSIFIED,blood,Hodgkin_lymphoma,10.574476,0.969039
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,10.596497,0.870509
Detroit562,HNSC,aero_digestive_tract,head_and_neck,10.661239,0.959376
NCC010,KIRC,kidney,kidney,10.677936,0.890113
SUP-HD1,UNCLASSIFIED,blood,Hodgkin_lymphoma,10.690503,0.943368
HCC1569,BRCA,breast,breast,10.693704,0.871748
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,10.758742,0.870517
EW-12,UNCLASSIFIED,bone,ewings_sarcoma,10.761967,0.905224
MKN45,STAD,digestive_system,stomach,10.778135,0.925903
HCC1500,BRCA,breast,breast,10.806754,0.909677
MM1S,MM,blood,myeloma,10.845200,0.987865
T47D,BRCA,breast,breast,10.947893,0.895391
NCI-H647,UNCLASSIFIED,lung,lung_NSCLC_not_specified,11.021613,0.860347
GR-ST,ALL,blood,lymphoblastic_leukemia,11.062127,0.943787
WM278,SKCM,skin,melanoma,11.098979,0.919478
COLO-824,BRCA,breast,breast,11.111498,0.896197
ETK-1,UNCLASSIFIED,digestive_system,biliary_tract,11.130003,0.947959
COLO-684,UCEC,urogenital_system,endometrium,11.135033,0.938592
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,11.144690,0.983035
EJM,MM,blood,lymphoid_neoplasm_other,11.210149,0.978371
MOLP-8,MM,blood,myeloma,11.405283,0.977570
CA46,UNCLASSIFIED,blood,Burkitt_lymphoma,11.466817,0.958001
MCF7,BRCA,breast,breast,11.499599,0.876889
CAMA-1,BRCA,breast,breast,11.558348,0.909926
HCT-116,COREAD,digestive_system,large_intestine,11.586291,0.964739
HCC-15,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,11.608364,0.948609
HDLM-2,UNCLASSIFIED,blood,Hodgkin_lymphoma,11.612078,0.964354
ES5,UNCLASSIFIED,bone,ewings_sarcoma,11.637549,0.894442
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,11.772102,0.978508
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,11.831638,0.907882
CAL-62,THCA,thyroid,thyroid,11.891573,0.955609
EW-7,UNCLASSIFIED,bone,ewings_sarcoma,11.941696,0.973008
C2BBe1,COREAD,digestive_system,large_intestine,11.992454,0.907167
BT-20,BRCA,breast,breast,12.156558,0.926124
MOLT-4,ALL,blood,lymphoblastic_leukemia,12.170648,0.988538
DK-MG,GBM,nervous_system,glioma,12.231959,0.929880
OPM-2,MM,blood,myeloma,12.285264,0.986425
NTERA-2-cl-D1,UNCLASSIFIED,urogenital_system,testis,12.350172,0.954830
KARPAS-620,MM,blood,haematopoietic_neoplasm_other,12.370393,0.972095
MDA-MB-453,BRCA,breast,breast,12.384254,0.902583
SH-4,SKCM,skin,melanoma,12.434863,0.943356
CHP-134,NB,nervous_system,neuroblastoma,12.437077,0.972126
NCI-H1437,LUAD,lung,lung_NSCLC_adenocarcinoma,12.542593,0.885386
HSC-3,HNSC,aero_digestive_tract,head_and_neck,12.567023,0.964061
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,12.578064,0.907548
NB12,NB,nervous_system,neuroblastoma,12.623479,0.951475
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,12.754128,0.979382
D-283MED,MB,nervous_system,medulloblastoma,12.803645,0.977229
PWR-1E,PRAD,urogenital_system,prostate,13.012540,0.967975
ATN-1,ALL,blood,lymphoblastic_T_cell_leukaemia,13.041202,0.987962
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,13.068012,0.888927
ME-1,LAML,blood,acute_myeloid_leukaemia,13.094967,0.975195
NU-DUL-1,DLBC,blood,B_cell_lymphoma,13.107132,0.934650
DG-75,UNCLASSIFIED,blood,Burkitt_lymphoma,13.241547,0.971007
HCC-366,UNCLASSIFIED,lung,lung_NSCLC_not_specified,13.263642,0.860205
Hs-940-T,SKCM,skin,melanoma,13.555996,0.867863
TGBC24TKB,UNCLASSIFIED,digestive_system,biliary_tract,13.656281,0.940492
NCI-H146,SCLC,lung,lung_small_cell_carcinoma,13.666337,0.891715
SNU-398,LIHC,digestive_system,liver,13.668265,0.954635
HCC1395,BRCA,breast,breast,13.719768,0.900921
8-MG-BA,GBM,nervous_system,glioma,13.745477,0.974493
KYSE-180,ESCA,aero_digestive_tract,oesophagus,13.888805,0.978058
ChaGo-K-1,UNCLASSIFIED,lung,lung_NSCLC_not_specified,13.975076,0.900571
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,14.004637,0.976838
RPMI-8226,MM,blood,myeloma,14.094384,0.986147
A375,SKCM,skin,melanoma,14.132139,0.911347
TE-10,ESCA,aero_digestive_tract,oesophagus,14.265240,0.905127
NCI-H838,LUAD,lung,lung_NSCLC_adenocarcinoma,14.332481,0.895660
NB5,NB,nervous_system,neuroblastoma,14.389352,0.879584
TUR,DLBC,blood,B_cell_lymphoma,14.412088,0.992418
LB647-SCLC,SCLC,lung,lung_small_cell_carcinoma,14.446411,0.910613
CP66-MEL,SKCM,skin,melanoma,14.516629,0.867466
COR-L311,SCLC,lung,lung_small_cell_carcinoma,14.711146,0.977461
ESO51,ESCA,aero_digestive_tract,oesophagus,14.871308,0.950112
KYSE-510,ESCA,aero_digestive_tract,oesophagus,14.995298,0.921592
MDA-MB-330,BRCA,breast,breast,15.000091,0.867275
NCI-H2009,LUAD,lung,lung_NSCLC_adenocarcinoma,15.140381,0.952432
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,15.348537,0.984987
D-245MG,GBM,nervous_system,glioma,15.409161,0.865703
SKN-3,HNSC,aero_digestive_tract,head_and_neck,15.464627,0.959565
KP-N-YS,NB,nervous_system,neuroblastoma,15.480162,0.923992
GI-ME-N,NB,nervous_system,neuroblastoma,15.494792,0.935654
C-33-A,CESC,urogenital_system,cervix,15.526572,0.964785
G-361,SKCM,skin,melanoma,15.734782,0.964160
JHU-011,HNSC,aero_digestive_tract,head_and_neck,15.901920,0.907589
HCT-15,COREAD,digestive_system,large_intestine,15.954547,0.965789
RT4,BLCA,urogenital_system,bladder,15.961146,0.968489
NCI-H2810,MESO,lung,mesothelioma,15.963806,0.896282
NCI-H508,COREAD,digestive_system,large_intestine,16.057072,0.886708
NCI-H64,SCLC,lung,lung_small_cell_carcinoma,16.058974,0.954800
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,16.099053,0.973594
NEC8,UNCLASSIFIED,urogenital_system,testis,16.167807,0.993588
SW156,KIRC,kidney,kidney,16.371343,0.882024
JHH-6,LIHC,digestive_system,liver,16.386992,0.931915
HT-29,COREAD,digestive_system,large_intestine,16.396481,0.903386
KALS-1,LGG,nervous_system,glioma,16.446416,0.947959
KELLY,NB,nervous_system,neuroblastoma,16.593531,0.987617
LB2241-RCC,KIRC,kidney,kidney,16.989813,0.884297
C-4-I,CESC,urogenital_system,cervix,17.038732,0.977611
HCC2998,COREAD,digestive_system,large_intestine,17.137003,0.977892
HCC-33,SCLC,lung,lung_small_cell_carcinoma,17.172096,0.921083
UWB1.289,OV,urogenital_system,ovary,17.460740,0.882881
K5,THCA,thyroid,thyroid,17.491461,0.959394
OCI-LY-19,DLBC,blood,B_cell_lymphoma,17.517791,0.946180
OV-7,OV,urogenital_system,ovary,17.531003,0.905793
TC-YIK,UNCLASSIFIED,urogenital_system,cervix,17.603113,0.979163
MDA-MB-415,BRCA,breast,breast,17.821664,0.939260
NCI-H1963,SCLC,lung,lung_small_cell_carcinoma,17.998955,0.976401
CAKI-1,KIRC,kidney,kidney,18.073606,0.854959
SNU-C5,COREAD,digestive_system,large_intestine,18.081724,0.949688
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,18.132292,0.982137
YKG-1,GBM,nervous_system,glioma,18.229209,0.899696
IGR-37,SKCM,skin,melanoma,18.321137,0.973862
A101D,SKCM,skin,melanoma,18.411055,0.955754
SF295,GBM,nervous_system,glioma,18.472463,0.897141
MDA-MB-175-VII,BRCA,breast,breast,18.523775,0.905237
JHH-4,LIHC,digestive_system,liver,18.569670,0.949754
D-502MG,LGG,nervous_system,glioma,18.625918,0.860424
AN3-CA,UCEC,urogenital_system,endometrium,18.667198,0.974947
HCC1806,UNCLASSIFIED,breast,breast,18.755001,0.945433
