"Cell line","TCGA classification",Tissue,"Tissue sub-type",IC50,AUC
KASUMI-1,LAML,blood,acute_myeloid_leukaemia,4.695701,0.849902
TALL-1,ALL,blood,lymphoblastic_T_cell_leukaemia,4.995820,0.836406
SK-MEL-24,SKCM,skin,melanoma,5.096422,0.786822
BC-3,DLBC,blood,B_cell_lymphoma,5.199233,0.875971
DEL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,5.336931,0.866908
RCC-JF,KIRC,kidney,kidney,5.660045,0.823517
UACC-257,SKCM,skin,melanoma,5.890242,0.798729
WM-115,SKCM,skin,melanoma,6.084862,0.798352
MOLM-16,LAML,blood,acute_myeloid_leukaemia,6.268545,0.871313
MV-4-11,UNCLASSIFIED,blood,leukemia,6.465550,0.892676
HT-29,COREAD,digestive_system,large_intestine,6.519673,0.817340
SCH,UNCLASSIFIED,digestive_system,stomach,6.917749,0.840171
CHSA0011,UNCLASSIFIED,bone,chondrosarcoma,7.317805,0.811679
SK-MEL-3,SKCM,skin,melanoma,7.373441,0.843396
NCI-H2452,MESO,lung,mesothelioma,7.666437,0.805773
LB1047-RCC,KIRC,kidney,kidney,7.775093,0.823453
LS-411N,COREAD,digestive_system,large_intestine,8.232465,0.830114
JHOS-4,OV,urogenital_system,ovary,8.251863,0.851543
CAKI-1,KIRC,kidney,kidney,8.444672,0.805452
HSC-39,STAD,digestive_system,stomach,8.463174,0.913011
697,UNCLASSIFIED,blood,lymphoblastic_leukemia,8.496764,0.909420
WM793B,SKCM,skin,melanoma,8.749217,0.850223
JVM-2,CLL,blood,lymphoid_neoplasm_other,8.840139,0.857692
A3-KAW,DLBC,blood,B_cell_lymphoma,8.840444,0.912790
WM35,SKCM,skin,melanoma,8.918206,0.852269
SW954,UNCLASSIFIED,urogenital_system,urogenital_system_other,8.951687,0.876860
MDST8,COREAD,digestive_system,large_intestine,8.965172,0.865083
BHT-101,THCA,thyroid,thyroid,9.051188,0.862359
SIG-M5,LAML,blood,acute_myeloid_leukaemia,9.073784,0.938042
NCI-H2795,MESO,lung,mesothelioma,9.131330,0.855055
PA-1,UNCLASSIFIED,urogenital_system,ovary,9.208249,0.872367
SR,UNCLASSIFIED,blood,lymphoid_neoplasm_other,9.438988,0.920574
NB13,NB,nervous_system,neuroblastoma,9.456651,0.885470
SNU-16,STAD,digestive_system,stomach,9.597932,0.904861
DOV13,OV,urogenital_system,ovary,9.614297,0.881933
KE-37,ALL,blood,lymphoblastic_leukemia,9.699886,0.925007
PCI-15A,HNSC,aero_digestive_tract,head_and_neck,9.814346,0.890516
JAR,UNCLASSIFIED,urogenital_system,urogenital_system_other,9.827423,0.894967
LB2241-RCC,KIRC,kidney,kidney,10.145676,0.850962
Hs-940-T,SKCM,skin,melanoma,10.162517,0.848513
IPC-298,SKCM,skin,melanoma,10.321486,0.871590
LOXIMVI,SKCM,skin,melanoma,10.347183,0.876525
LAMA-84,LCML,blood,chronic_myeloid_leukaemia,10.378618,0.918484
H4,LGG,nervous_system,glioma,10.447937,0.889754
KGN,UNCLASSIFIED,urogenital_system,ovary,10.449962,0.857633
Jurkat,ALL,blood,T_cell_leukemia,10.474964,0.915981
ALL-PO,ALL,blood,lymphoblastic_leukemia,10.522929,0.920894
DOHH-2,DLBC,blood,B_cell_lymphoma,10.588302,0.970488
IHH-4,THCA,thyroid,thyroid,10.727176,0.884717
SW156,KIRC,kidney,kidney,10.849868,0.855568
SU-DHL-10,DLBC,blood,B_cell_lymphoma,10.878871,0.940054
MOG-G-UVW,LGG,nervous_system,glioma,10.980075,0.888787
SU-DHL-16,DLBC,blood,B_cell_lymphoma,11.079890,0.944008
CAL-54,KIRC,kidney,kidney,11.314416,0.844334
D-566MG,GBM,nervous_system,glioma,11.444914,0.905798
ACHN,KIRC,kidney,kidney,11.541346,0.843305
CAL-12T,UNCLASSIFIED,lung,lung_NSCLC_not_specified,11.666450,0.877123
NOS-1,UNCLASSIFIED,bone,osteosarcoma,11.938937,0.896055
A431,UNCLASSIFIED,skin,skin_other,11.980806,0.872966
EW-12,UNCLASSIFIED,bone,ewings_sarcoma,12.021650,0.912707
D-245MG,GBM,nervous_system,glioma,12.065443,0.850096
Hs-683,LGG,nervous_system,glioma,12.134552,0.892016
NCI-H647,UNCLASSIFIED,lung,lung_NSCLC_not_specified,12.300010,0.867750
CML-T1,LCML,blood,chronic_myeloid_leukaemia,12.349620,0.932313
SU-DHL-6,DLBC,blood,B_cell_lymphoma,12.351024,0.943889
SK-MEL-1,SKCM,skin,melanoma,12.620522,0.863491
BONNA-12,-,blood,hairy_cell_leukaemia,12.643538,0.906034
JM1,DLBC,blood,B_cell_lymphoma,12.772377,0.955412
RPMI-6666,UNCLASSIFIED,blood,Hodgkin_lymphoma,12.808172,0.892396
P32-ISH,UNCLASSIFIED,blood,Burkitt_lymphoma,12.844369,0.960255
TOV-21G,OV,urogenital_system,ovary,12.975089,0.858385
RCC-FG2,KIRC,kidney,kidney,13.376733,0.879818
BE-13,ALL,blood,lymphoblastic_leukemia,13.480815,0.907143
NK-92MI,UNCLASSIFIED,blood,lymphoid_neoplasm_other,13.745041,0.956372
ML-1,THCA,thyroid,thyroid,13.767551,0.837832
MC-IXC,NB,nervous_system,neuroblastoma,13.861119,0.918999
SK-MEL-5,SKCM,skin,melanoma,13.904580,0.879552
NB4,LAML,blood,acute_myeloid_leukaemia,13.975077,0.953061
ES5,UNCLASSIFIED,bone,ewings_sarcoma,14.051395,0.906590
TE-11,ESCA,aero_digestive_tract,oesophagus,14.248432,0.914460
NCI-H2009,LUAD,lung,lung_NSCLC_adenocarcinoma,14.324441,0.878199
CESS,LAML,blood,acute_myeloid_leukaemia,14.328446,0.922456
DB,DLBC,blood,B_cell_lymphoma,14.403641,0.903585
HO-1-u-1,HNSC,aero_digestive_tract,head_and_neck,14.450907,0.890211
NB17,NB,nervous_system,neuroblastoma,14.512917,0.924065
TE-15,ESCA,aero_digestive_tract,oesophagus,14.533061,0.882734
RCH-ACV,UNCLASSIFIED,blood,B_cell_leukemia,14.586449,0.944841
KOSC-2,HNSC,aero_digestive_tract,head_and_neck,14.750426,0.910948
KARPAS-299,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,14.804694,0.924426
IST-MEL1,SKCM,skin,melanoma,14.822677,0.865900
WSU-NHL,UNCLASSIFIED,blood,lymphoid_neoplasm_other,14.843266,0.925030
MOLT-16,ALL,blood,lymphoblastic_T_cell_leukaemia,15.039468,0.969147
D-542MG,GBM,nervous_system,glioma,15.446459,0.865431
BC-1,DLBC,blood,B_cell_lymphoma,15.523760,0.941005
NCI-H209,SCLC,lung,lung_small_cell_carcinoma,15.587590,0.920752
U031,KIRC,kidney,kidney,15.602817,0.899684
NAMALWA,UNCLASSIFIED,blood,Burkitt_lymphoma,15.655157,0.939978
CTB-1,DLBC,blood,B_cell_lymphoma,15.743713,0.882859
LB996-RCC,KIRC,kidney,kidney,15.782533,0.872867
RCC-ER,KIRC,kidney,kidney,15.900465,0.903404
Hep3B2-1-7,LIHC,digestive_system,liver,15.979503,0.925782
P30-OHK,ALL,blood,lymphoblastic_leukemia,16.123508,0.956518
NCI-H82,SCLC,lung,lung_small_cell_carcinoma,16.623801,0.930407
EB2,UNCLASSIFIED,blood,Burkitt_lymphoma,16.795605,0.902521
RVH-421,SKCM,skin,melanoma,16.826492,0.901835
RERF-LC-MS,LUAD,lung,lung_NSCLC_adenocarcinoma,16.920080,0.912334
NB12,NB,nervous_system,neuroblastoma,16.991675,0.894299
IGR-1,SKCM,skin,melanoma,17.046429,0.916649
JHU-011,HNSC,aero_digestive_tract,head_and_neck,17.049708,0.911600
NCI-H460,UNCLASSIFIED,lung,lung_NSCLC_large_cell,17.135945,0.910566
KP-N-YS,NB,nervous_system,neuroblastoma,17.175833,0.929769
MZ2-MEL,SKCM,skin,melanoma,17.176662,0.903922
MOLM-13,LAML,blood,acute_myeloid_leukaemia,17.650367,0.959702
L-428,UNCLASSIFIED,blood,Hodgkin_lymphoma,17.760863,0.941369
ES-2,UNCLASSIFIED,urogenital_system,ovary,17.803481,0.897575
L-363,MM,blood,myeloma,17.895999,0.959270
Hs-578-T,BRCA,breast,breast,17.938709,0.890966
A388,UNCLASSIFIED,skin,skin_other,17.977238,0.891182
AM-38,GBM,nervous_system,glioma,17.993181,0.903702
KY821,LAML,blood,leukemia,18.838377,0.943902
CRO-AP2,DLBC,blood,B_cell_lymphoma,18.945971,0.954966
OV-7,OV,urogenital_system,ovary,18.957825,0.910142
RKO,COREAD,digestive_system,large_intestine,18.995145,0.922301
BB30-HNC,HNSC,aero_digestive_tract,head_and_neck,19.300244,0.940685
SK-HEP-1,LIHC,digestive_system,liver,19.322008,0.914598
KU812,LCML,blood,chronic_myeloid_leukaemia,19.325156,0.928810
HuTu-80,UNCLASSIFIED,digestive_system,digestive_system_other,19.475115,0.937023
QIMR-WIL,LAML,blood,acute_myeloid_leukaemia,19.498235,0.958366
A4-Fuk,DLBC,blood,B_cell_lymphoma,19.754819,0.940210
IM-9,MM,blood,myeloma,19.855393,0.954910
CHSA8926,UNCLASSIFIED,bone,chondrosarcoma,19.914299,0.897851
BV-173,LCML,blood,chronic_myeloid_leukaemia,19.973886,0.938755
8-MG-BA,GBM,nervous_system,glioma,20.024521,0.932084
WM1552C,SKCM,skin,melanoma,20.056700,0.899380
RS4-11,ALL,blood,leukemia,20.060375,0.957957
LoVo,COREAD,digestive_system,large_intestine,20.481376,0.882516
NCI-H2110,UNCLASSIFIED,lung,lung_NSCLC_not_specified,20.550555,0.927081
SNG-M,UCEC,urogenital_system,endometrium,20.821489,0.927907
T-T,ESCA,aero_digestive_tract,oesophagus,20.900047,0.926559
JEKO-1,DLBC,blood,B_cell_lymphoma,21.102390,0.951216
Calu-6,LUAD,lung,lung_NSCLC_adenocarcinoma,21.392933,0.876936
8305C,THCA,thyroid,thyroid,21.394039,0.872214
no-10,LGG,nervous_system,glioma,21.445325,0.905566
SK-MEL-31,SKCM,skin,melanoma,21.520159,0.890619
MC116,DLBC,blood,B_cell_lymphoma,21.547800,0.977937
MEG-01,LCML,blood,chronic_myeloid_leukaemia,21.663621,0.931860
D-423MG,GBM,nervous_system,glioma,21.720546,0.924719
RPMI-7951,SKCM,skin,melanoma,21.740935,0.930426
MY-M12,ALL,blood,leukemia,21.839551,0.963191
OVTOKO,OV,urogenital_system,ovary,21.881643,0.883986
DBTRG-05MG,GBM,nervous_system,glioma,21.946266,0.832287
AMO-1,MM,blood,haematopoietic_neoplasm_other,22.007172,0.955823
ChaGo-K-1,UNCLASSIFIED,lung,lung_NSCLC_not_specified,22.051913,0.925984
HSC-2,HNSC,aero_digestive_tract,head_and_neck,22.224665,0.932215
HEL,LAML,blood,acute_myeloid_leukaemia,22.249017,0.970073
SNU-C5,COREAD,digestive_system,large_intestine,22.423777,0.893833
BB49-HNC,HNSC,aero_digestive_tract,head_and_neck,22.695843,0.899527
HO-1-N-1,HNSC,aero_digestive_tract,head_and_neck,22.737413,0.933116
NCC021,KIRC,kidney,kidney,22.745671,0.895123
OCI-M1,LAML,blood,acute_myeloid_leukaemia,22.978005,0.961321
B-CPAP,THCA,thyroid,thyroid,23.037971,0.903331
JHU-029,HNSC,aero_digestive_tract,head_and_neck,23.070605,0.921267
KMH-2,THCA,thyroid,thyroid,23.212255,0.945168
HuCCT1,UNCLASSIFIED,digestive_system,biliary_tract,23.370236,0.887370
KYSE-140,ESCA,aero_digestive_tract,oesophagus,23.390895,0.921373
JURL-MK1,LCML,blood,chronic_myeloid_leukaemia,23.713483,0.958571
NCI-H1581,UNCLASSIFIED,lung,lung_NSCLC_large_cell,23.814698,0.934007
D-502MG,LGG,nervous_system,glioma,23.888195,0.874284
P12-ICHIKAWA,ALL,blood,lymphoblastic_T_cell_leukaemia,23.969277,0.961660
HMV-II,SKCM,skin,melanoma,24.110705,0.894641
EMC-BAC-1,LUAD,lung,lung_NSCLC_adenocarcinoma,24.214407,0.913379
SKM-1,UNCLASSIFIED,blood,haematopoietic_neoplasm_other,24.376558,0.962348
KMS-12-BM,MM,blood,myeloma,24.471696,0.968820
NCI-H1648,LUAD,lung,lung_NSCLC_adenocarcinoma,24.525031,0.910886
NCCIT,-,urogenital_system,testis,24.532438,0.931528
SF539,LGG,nervous_system,glioma,24.557224,0.940732
PCI-4B,HNSC,aero_digestive_tract,head_and_neck,24.727838,0.924593
NCI-H2030,LUAD,lung,lung_NSCLC_adenocarcinoma,24.758702,0.894195
KON,HNSC,aero_digestive_tract,head_and_neck,24.788177,0.941769
TE-441-T,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,24.957808,0.918698
HDQ-P1,BRCA,breast,breast,25.090587,0.911431
NUGC-3,STAD,digestive_system,stomach,25.142222,0.904028
NU-DUL-1,DLBC,blood,B_cell_lymphoma,25.284971,0.965944
LN-18,GBM,nervous_system,glioma,25.302360,0.927015
RL95-2,UNCLASSIFIED,urogenital_system,endometrium,25.302728,0.925475
JHOS-2,OV,urogenital_system,ovary,25.444818,0.911314
NCI-H847,SCLC,lung,lung_small_cell_carcinoma,25.680892,0.961938
VMRC-MELG,SKCM,skin,melanoma,25.768459,0.898095
COLO-320-HSR,COREAD,digestive_system,large_intestine,25.967021,0.950709
MDA-MB-468,BRCA,breast,breast,26.340483,0.921116
NCI-H1770,UNCLASSIFIED,lung,lung_NSCLC_not_specified,26.374014,0.953856
HCC1569,BRCA,breast,breast,26.391474,0.923807
NCI-H322M,LUAD,lung,lung_NSCLC_adenocarcinoma,26.559934,0.897811
MLMA,UNCLASSIFIED,blood,hairy_cell_leukaemia,26.758753,0.948257
COR-L105,LUAD,lung,lung_NSCLC_adenocarcinoma,26.766062,0.877602
NCI-H290,MESO,lung,mesothelioma,26.860082,0.929679
MHH-CALL-2,UNCLASSIFIED,blood,B_cell_leukemia,26.997926,0.959047
HCC-827,LUAD,lung,lung_NSCLC_adenocarcinoma,27.180242,0.881572
SUP-M2,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,27.245225,0.987664
NCI-H2122,LUAD,lung,lung_NSCLC_adenocarcinoma,27.247020,0.946514
SW872,UNCLASSIFIED,soft_tissue,soft_tissue_other,27.290031,0.909263
EW-11,UNCLASSIFIED,bone,ewings_sarcoma,27.678493,0.921270
FLO-1,ESCA,aero_digestive_tract,oesophagus,27.788753,0.912719
IGROV-1,OV,urogenital_system,ovary,27.986674,0.900613
Caov-3,OV,urogenital_system,ovary,28.093484,0.918279
HCE-4,ESCA,aero_digestive_tract,oesophagus,28.151243,0.949205
Hs-766T,PAAD,pancreas,pancreas,28.301421,0.851499
NCI-H526,SCLC,lung,lung_small_cell_carcinoma,28.460513,0.958125
SU-DHL-5,DLBC,blood,B_cell_lymphoma,28.496130,0.991199
MPP-89,MESO,lung,mesothelioma,28.657500,0.920239
PE-CA-PJ15,HNSC,aero_digestive_tract,head_and_neck,28.664193,0.926478
SK-ES-1,UNCLASSIFIED,bone,ewings_sarcoma,28.685283,0.954186
HCT-15,COREAD,digestive_system,large_intestine,28.809340,0.931775
L-540,UNCLASSIFIED,blood,Hodgkin_lymphoma,28.819301,0.961330
HARA,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,28.834583,0.927998
WIL2-NS,UNCLASSIFIED,blood,lymphoid_neoplasm_other,28.890617,0.959850
A2058,SKCM,skin,melanoma,28.965180,0.951745
HSC-3,HNSC,aero_digestive_tract,head_and_neck,29.142074,0.937900
HAL-01,ALL,blood,lymphoblastic_leukemia,29.162050,0.964126
OV-17R,OV,urogenital_system,ovary,29.478401,0.923907
NCI-H1703,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,29.973478,0.933366
NB69,NB,nervous_system,neuroblastoma,30.195037,0.927817
EM-2,LCML,blood,chronic_myeloid_leukaemia,30.232436,0.961497
OMC-1,CESC,urogenital_system,cervix,30.554592,0.922063
H9,UNCLASSIFIED,blood,lymphoid_neoplasm_other,30.693510,0.979135
A549,LUAD,lung,lung_NSCLC_adenocarcinoma,30.863295,0.915736
MOG-G-CCM,LGG,nervous_system,glioma,30.954952,0.905102
STS-0421,UNCLASSIFIED,soft_tissue,soft_tissue_other,31.008112,0.936063
RH-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,31.070931,0.973852
NCI-H1755,LUAD,lung,lung_NSCLC_adenocarcinoma,31.193136,0.910136
CCRF-CEM,ALL,blood,lymphoblastic_leukemia,31.227554,0.982077
COR-L321,UNCLASSIFIED,lung,lung_other,31.280076,0.953996
T98G,GBM,nervous_system,glioma,31.418091,0.936656
UACC-893,BRCA,breast,breast,31.679074,0.930873
NCI-H2171,SCLC,lung,lung_small_cell_carcinoma,31.795812,0.979321
NB5,NB,nervous_system,neuroblastoma,31.860852,0.921934
NCI-H1792,LUAD,lung,lung_NSCLC_adenocarcinoma,31.921791,0.950090
NCI-H146,SCLC,lung,lung_small_cell_carcinoma,32.606573,0.936830
OSC-19,HNSC,aero_digestive_tract,head_and_neck,32.736748,0.939038
UWB1.289,OV,urogenital_system,ovary,32.931203,0.915626
RCC-AB,KIRC,kidney,kidney,33.434794,0.905894
MSTO-211H,MESO,lung,mesothelioma,33.464155,0.932473
KNS-42,LGG,nervous_system,glioma,33.708197,0.911159
ESS-1,UNCLASSIFIED,urogenital_system,endometrium,33.877531,0.957334
KYSE-150,ESCA,aero_digestive_tract,oesophagus,33.913485,0.932264
HCC70,BRCA,breast,breast,33.971442,0.948437
LC-2-ad,LUAD,lung,lung_NSCLC_adenocarcinoma,34.248176,0.950912
ES7,UNCLASSIFIED,bone,ewings_sarcoma,34.321582,0.951024
GCT,UNCLASSIFIED,soft_tissue,soft_tissue_other,34.555054,0.923066
KYM-1,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,34.838606,0.954674
U-698-M,UNCLASSIFIED,blood,B_cell_leukemia,34.844052,0.963469
ECC10,UNCLASSIFIED,digestive_system,stomach,34.855034,0.960002
IST-SL2,SCLC,lung,lung_small_cell_carcinoma,34.903674,0.937864
OCI-AML2,LAML,blood,acute_myeloid_leukaemia,35.066803,0.982046
PCI-6A,HNSC,aero_digestive_tract,head_and_neck,35.142712,0.945311
GA-10,UNCLASSIFIED,blood,Burkitt_lymphoma,35.537405,0.959754
LB647-SCLC,SCLC,lung,lung_small_cell_carcinoma,35.652225,0.953525
RPMI-8866,LCML,blood,chronic_myeloid_leukaemia,35.672235,0.968667
ME-180,CESC,urogenital_system,cervix,35.906826,0.934051
SNB75,GBM,nervous_system,glioma,36.045937,0.915282
KYSE-510,ESCA,aero_digestive_tract,oesophagus,36.068619,0.961038
NCI-H524,SCLC,lung,lung_small_cell_carcinoma,36.147466,0.965272
ALL-SIL,ALL,blood,T_cell_leukemia,36.203136,0.974654
YT,ALL,blood,lymphoid_neoplasm_other,36.397265,0.970817
D-247MG,GBM,nervous_system,glioma,36.403568,0.912170
ST486,UNCLASSIFIED,blood,Burkitt_lymphoma,36.555735,0.965154
A673,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,36.625917,0.952914
A427,UNCLASSIFIED,lung,lung_NSCLC_not_specified,36.773939,0.959140
KARPAS-45,ALL,blood,lymphoblastic_leukemia,36.950970,0.978250
TE-12,ESCA,aero_digestive_tract,oesophagus,37.148412,0.905061
HT55,COREAD,digestive_system,large_intestine,37.199454,0.921316
Farage,DLBC,blood,B_cell_lymphoma,37.410814,0.979007
HuO9,UNCLASSIFIED,bone,osteosarcoma,37.644932,0.953393
SF126,GBM,nervous_system,glioma,37.664755,0.949349
BALL-1,UNCLASSIFIED,blood,B_cell_leukemia,37.686538,0.982383
Detroit562,HNSC,aero_digestive_tract,head_and_neck,37.902287,0.948162
BHY,HNSC,aero_digestive_tract,head_and_neck,38.221221,0.931245
KOPN-8,UNCLASSIFIED,blood,B_cell_leukemia,38.447813,0.965502
T24,BLCA,urogenital_system,bladder,38.525751,0.935674
SNU-81,COREAD,digestive_system,large_intestine,38.834837,0.961839
SU-DHL-4,DLBC,blood,B_cell_lymphoma,39.054811,0.982038
NCI-H292,UNCLASSIFIED,lung,lung_NSCLC_adenocarcinoma,39.209773,0.934411
LU-134-A,SCLC,lung,lung_small_cell_carcinoma,39.319916,0.952085
BB65-RCC,KIRC,kidney,kidney,39.574665,0.948861
C-33-A,CESC,urogenital_system,cervix,39.660648,0.944271
D-283MED,MB,nervous_system,medulloblastoma,39.743906,0.965304
COR-L279,SCLC,lung,lung_small_cell_carcinoma,39.946967,0.962376
NCI-H1651,LUAD,lung,lung_NSCLC_adenocarcinoma,40.109326,0.949465
CAL-39,CESC,urogenital_system,cervix,40.353186,0.944012
DOK,HNSC,aero_digestive_tract,head_and_neck,40.425985,0.927560
ESO51,ESCA,aero_digestive_tract,oesophagus,40.451032,0.928920
CAL-78,UNCLASSIFIED,bone,chondrosarcoma,40.920208,0.940216
JJN-3,MM,blood,haematopoietic_neoplasm_other,40.934642,0.980616
SCC-25,HNSC,aero_digestive_tract,head_and_neck,40.938537,0.954480
SW1417,COREAD,digestive_system,large_intestine,41.057448,0.849142
LOUCY,ALL,blood,lymphoblastic_T_cell_leukaemia,41.600503,0.968467
HC-1,UNCLASSIFIED,blood,hairy_cell_leukaemia,41.915792,0.966180
CADO-ES1,UNCLASSIFIED,bone,ewings_sarcoma,41.992377,0.965060
BxPC-3,PAAD,pancreas,pancreas,42.102683,0.927860
NCI-H2804,MESO,lung,mesothelioma,42.568990,0.910697
HGC-27,STAD,digestive_system,stomach,42.940717,0.964637
SW1088,GBM,nervous_system,glioma,43.347623,0.914987
RF-48,STAD,digestive_system,stomach,43.379578,0.952458
GB-1,GBM,nervous_system,glioma,43.406591,0.911535
MDA-MB-330,BRCA,breast,breast,43.524994,0.921251
NCI-H2342,LUAD,lung,lung_NSCLC_adenocarcinoma,43.734342,0.932563
SAS,HNSC,aero_digestive_tract,head_and_neck,44.122726,0.943488
RL,DLBC,blood,B_cell_lymphoma,44.187272,0.964306
HL-60,LAML,blood,acute_myeloid_leukaemia,44.346007,0.970258
A2780,UNCLASSIFIED,urogenital_system,ovary,44.346740,0.938673
ONS-76,MB,nervous_system,medulloblastoma,44.543074,0.934353
AN3-CA,UCEC,urogenital_system,endometrium,44.608588,0.956194
LC4-1,ALL,blood,lymphoblastic_leukemia,44.882260,0.977643
SUP-T1,ALL,blood,lymphoblastic_T_cell_leukaemia,45.053360,0.946091
RH-41,UNCLASSIFIED,soft_tissue,rhabdomyosarcoma,45.088335,0.970694
A704,KIRC,kidney,kidney,45.098473,0.940310
SU-DHL-1,UNCLASSIFIED,blood,anaplastic_large_cell_lymphoma,45.273851,0.964965
SK-N-DZ,NB,nervous_system,neuroblastoma,45.434020,0.963041
FU97,STAD,digestive_system,stomach,45.474742,0.917884
JHH-4,LIHC,digestive_system,liver,45.540179,0.925742
SK-GT-2,STAD,digestive_system,stomach,45.629895,0.948755
NCI-H835,UNCLASSIFIED,lung,lung_NSCLC_carcinoid,45.991716,0.962213
HCC1954,BRCA,breast,breast,46.082272,0.960000
SHP-77,SCLC,lung,lung_small_cell_carcinoma,46.399201,0.967274
Daoy,MB,nervous_system,medulloblastoma,46.417640,0.960905
K-562,LCML,blood,chronic_myeloid_leukaemia,46.637880,0.960240
PF-382,ALL,blood,lymphoblastic_T_cell_leukaemia,46.678950,0.969126
CTV-1,LAML,blood,acute_myeloid_leukaemia,46.818993,0.988034
PL-21,LAML,blood,acute_myeloid_leukaemia,46.958753,0.966582
YKG-1,GBM,nervous_system,glioma,47.061173,0.942902
BL-41,UNCLASSIFIED,blood,Burkitt_lymphoma,47.937847,0.997766
KCL-22,LCML,blood,chronic_myeloid_leukaemia,48.643268,0.974296
PC-3_[JPC-3],LUAD,lung,lung_NSCLC_adenocarcinoma,48.886723,0.915293
LCLC-103H,UNCLASSIFIED,lung,lung_NSCLC_large_cell,48.917254,0.932973
NEC8,UNCLASSIFIED,urogenital_system,testis,49.091528,0.987836
HCT-116,COREAD,digestive_system,large_intestine,49.208704,0.960115
MKN7,STAD,digestive_system,stomach,49.345690,0.914823
P31-FUJ,LAML,blood,acute_myeloid_leukaemia,49.389439,0.965605
NCI-H2081,SCLC,lung,lung_small_cell_carcinoma,49.459923,0.943921
SNU-449,LIHC,digestive_system,liver,49.814780,0.891985
NCI-H1869,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,49.987102,0.926737
CHP-126,NB,nervous_system,neuroblastoma,49.995912,0.944760
SK-PN-DW,UNCLASSIFIED,bone,ewings_sarcoma,50.018947,0.966023
IMR-5,NB,nervous_system,neuroblastoma,50.178291,0.984312
SCC-3,DLBC,blood,B_cell_lymphoma,50.215748,0.986160
HCC-33,SCLC,lung,lung_small_cell_carcinoma,50.301646,0.964790
huH-1,LIHC,digestive_system,liver,50.375962,0.925546
YH-13,GBM,nervous_system,glioma,50.448307,0.940634
MOLT-13,ALL,blood,lymphoblastic_T_cell_leukaemia,50.588779,0.981284
SKN,UNCLASSIFIED,urogenital_system,uterus,50.629513,0.926812
HCC2218,BRCA,breast,breast,50.835167,0.969475
CGTH-W-1,THCA,thyroid,thyroid,51.151341,0.943595
KP-3,UNCLASSIFIED,pancreas,pancreas,51.212267,0.956026
NCI-H1436,SCLC,lung,lung_small_cell_carcinoma,51.233266,0.961752
KNS-62,LUSC,lung,lung_NSCLC_squamous_cell_carcinoma,51.361006,0.947974
